sa3_code16, tot_p, australia_p, feature_name
80101,95644,65325,Belconnen
80103,1908,1227,Canberra East
80104,71168,43654,Gungahlin
80105,56407,34161,North Canberra
80106,28567,18380,South Canberra
80107,83941,63444,Tuggeranong
80108,22488,16553,Weston Creek
80109,35216,22294,Woden Valley
80110,4664,2794,Molonglo
80111,632,497,Urriarra - Namadgi
